08:35:57 [MissionAirdrop] An airdrop is heading towards "Mauerkirchen" (pos=<3123.000000, 0.000000, 4342.000000> type=Random_Mauerkirchen) with a ExpansionAirdropContainer_Medical
10:05:14 [Market] Player "martyCZ" (id=44dQ0cnFzUA_6kpX-D9wUNcXT2m9kkMRQUwMD_7CwEg=) has bought m4_suppressor x1 from the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 2000.
10:05:25 [Chat - Global]("Bflame"(id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=)): no paradicka.. to sa kde da zistit?
10:05:34 [Chat - Global]("Bflame"(id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=)): ze kolko nas tu je?
10:05:53 [Market] Player "martyCZ" (id=44dQ0cnFzUA_6kpX-D9wUNcXT2m9kkMRQUwMD_7CwEg=) has send a requested to purchase mag_stanag_60rnd x1 from the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
10:05:53 [Market] Player "martyCZ" (id=44dQ0cnFzUA_6kpX-D9wUNcXT2m9kkMRQUwMD_7CwEg=) has bought mag_stanag_60rnd x1 from the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 3050.
10:06:24 [Market] Player "martyCZ" (id=44dQ0cnFzUA_6kpX-D9wUNcXT2m9kkMRQUwMD_7CwEg=) has send a requested to purchase ammo_556x45 x100 from the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
10:06:24 [Market] Player "martyCZ" (id=44dQ0cnFzUA_6kpX-D9wUNcXT2m9kkMRQUwMD_7CwEg=) has bought ammo_556x45 x100 from the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 2500.
10:07:07 [Market] Player "martyCZ" (id=44dQ0cnFzUA_6kpX-D9wUNcXT2m9kkMRQUwMD_7CwEg=) has send a requested to sell mag_cmag_10rnd x1 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
10:07:07 [Market] Player "martyCZ" (id=44dQ0cnFzUA_6kpX-D9wUNcXT2m9kkMRQUwMD_7CwEg=) has sold mag_cmag_10rnd x1 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 24.
10:07:24 [Market] Player "martyCZ" (id=44dQ0cnFzUA_6kpX-D9wUNcXT2m9kkMRQUwMD_7CwEg=) has send a requested to sell ammo_12gapellets x35 at the trader "Attachments (Oliver [ATTACHMENTS TRADER])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
