20:02:42 [AI Object Patrol] Generating an example config...
20:45:29 [Market] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=) has send a requested to purchase nvgoggles x1 from the trader "Blacktrader (Elias [Smuggler Trader])" in market zone "OUTLIVE Smuggler Trader" (pos=<9945.549805, 36.532902, 5359.779785>).
20:45:29 [Market] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=) has bought nvgoggles x1 from the trader "Blacktrader (Elias [Smuggler Trader])" in market zone "OUTLIVE Smuggler Trader" (pos=<9945.549805, 36.532902, 5359.779785>) for a price of 80250.
20:45:53 [ATM Locker] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw=) has deposited 1750 on his ATM account.
20:47:33 [Safezone] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw= pos=<9850.312500, 5.557996, 5422.790039>) Left the safezone
20:47:43 [Safezone] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU= pos=<9872.037109, 8.395417, 5419.629883>) Left the safezone
21:00:47 [VehicleCarKey] Player "Martina_(.)(.)_" (id=KBvZ7N7QOK5224QFIh6ry8QI5xBwogyjGyBaskjwU0A= pos=<4334.395996, 5.205610, 2091.577393>) used the  ExpansionCarKey to unlock a CrSk_Hummer_H2_6x6_Space
21:13:05 [VehicleCarKey] Player "Martina_(.)(.)_" (id=KBvZ7N7QOK5224QFIh6ry8QI5xBwogyjGyBaskjwU0A= pos=<4336.082031, 7.304380, 2091.573242>) used the  ExpansionCarKey to lock a CrSk_Hummer_H2_6x6_Space
21:21:38 [Chat - Global]("Martina_(.)(.)_"(id=KBvZ7N7QOK5224QFIh6ry8QI5xBwogyjGyBaskjwU0A=)): Někdo inteligentní si v Prienu udělal základnu :D :D 
21:25:31 [VehicleCarKey] Player "Martina_(.)(.)_" (id=KBvZ7N7QOK5224QFIh6ry8QI5xBwogyjGyBaskjwU0A= pos=<4337.204102, 5.072671, 2092.649414>) used the  ExpansionCarKey to unlock a CrSk_Hummer_H2_6x6_Space
21:30:33 [Safezone] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw= pos=<4419.761719, 0.004238, 4182.022949>) Entered the safezone
21:30:33 [Safezone] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU= pos=<4419.935059, 0.665214, 4182.794922>) Entered the safezone
