00:02:43 [AI Object Patrol] Generating an example config...
00:10:17 [Expansion Quests] - SetupClientData - Created new persistent player quest data for player UID: qACnsDSyjJGN2BaHn0ttiO1kddrq9aRPDePwV8IMnWE=
00:12:14 [Party] Player "nic" (id=qACnsDSyjJGN2BaHn0ttiO1kddrq9aRPDePwV8IMnWE=) created a party named fff
00:14:37 [Killfeed] nic got killed by an Infected.
00:14:56 [Expansion Quests] - SetupClientData - Got cached player quest data for player with UID: qACnsDSyjJGN2BaHn0ttiO1kddrq9aRPDePwV8IMnWE=
00:15:26 [MissionAirdrop] An airdrop is heading towards "Weitmoos" (pos=<6222.000000, 0.000000, 9723.000000> type=Random_Weitmoos) with a ExpansionAirdropContainer
03:13:52 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell twp_ammo_20x76 x19 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:13:52 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold twp_ammo_20x76 x19 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 103.
03:14:45 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to purchase twp_sv98novapriam_mag_5rnd x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:14:45 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has bought twp_sv98novapriam_mag_5rnd x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 915.
03:15:44 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell twp_ssg69 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:15:45 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold twp_ssg69 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1600.
03:17:38 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell twp_ssg69_mag_5rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:17:38 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold twp_ssg69_mag_5rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 75.
03:17:39 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell twp_ssg69_mag_5rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:17:39 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold twp_ssg69_mag_5rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 75.
03:18:18 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell pp19 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:18:18 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold pp19 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 300.
03:19:07 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell mag_pp19_64rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:19:07 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold mag_pp19_64rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 80.
03:19:14 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell pp19_bttstck x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:19:14 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold pp19_bttstck x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 60.
03:20:24 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell drybag_blue x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
