12:30:40 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3419.892090, 7.211957, 5306.310059>) used the  ExpansionCarKey to unlock a Expansion_Landrover_Orange
13:56:57 [MissionAirdrop] An airdrop is heading towards "Krater" (pos=<7262.000000, 0.000000, 9618.000000> type=Random_Krater) with a ExpansionAirdropContainer_Basebuilding
13:56:57 [MissionAirdrop] An airdrop is heading towards "Camprefugi" (pos=<4669.000000, 0.000000, 5240.000000> type=Random_Camprefugi) with a ExpansionAirdropContainer_Basebuilding
14:00:01 [VehicleCarKey] Player "Kody" (id=vHFZU74BZI_ayyjapF-71XC4icK9QMS69f8Uu0qGWrk= pos=<4461.547363, 4.917963, 3082.358154>) used the  ExpansionCarKey to unlock a ExpansionUAZCargo
14:04:07 [Chat - Global]("Bflame"(id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=)): Miška si v hre?
14:04:23 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<970.962097, 13.658813, 2548.208984>) used the  ExpansionCarKey to lock a ExpansionGyrocopter
14:04:25 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<970.962097, 13.658076, 2548.208984>) used the  ExpansionCarKey to unlock a ExpansionGyrocopter
14:04:35 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<970.602905, 13.643955, 2548.445068>) used the  ExpansionCarKey to lock a ExpansionGyrocopter
14:04:37 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<970.656677, 13.644001, 2548.257080>) used the  ExpansionCarKey to unlock a ExpansionGyrocopter
14:04:55 [VehicleCarKey] Player "Kody" (id=vHFZU74BZI_ayyjapF-71XC4icK9QMS69f8Uu0qGWrk= pos=<4462.501953, 5.091763, 3076.415039>) used the  ExpansionCarKey to lock a ExpansionUAZCargo
14:05:05 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<970.512695, 13.621108, 2547.192871>) used the  ExpansionCarKey to lock a ExpansionGyrocopter
14:07:03 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<970.512695, 13.621193, 2547.192871>) used the  ExpansionCarKey to unlock a ExpansionGyrocopter
14:07:05 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<970.512695, 13.621613, 2547.192871>) used the  ExpansionCarKey to lock a ExpansionGyrocopter
14:10:47 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<968.301147, 13.489955, 2550.020752>) used the  ExpansionCarKey to unlock a ExpansionGyrocopter
14:11:18 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<968.376404, 13.493699, 2549.918213>) used the  ExpansionCarKey to lock a ExpansionGyrocopter
14:14:45 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<968.149170, 13.450331, 2548.469482>) used the  ExpansionCarKey to unlock a ExpansionGyrocopter
14:15:52 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<979.643005, 14.518384, 2547.015137>) used the  ExpansionCarKey to lock a Expansion_Landrover_Green
14:16:02 [VehicleCarKey] Player "MADness" (id=OWXX6Y-5LFd-7A6ELi2o-QPO0kjmZUMZvMTKL0AQ_q0= pos=<955.262451, 12.036785, 2560.875732>) paired a  ExpansionCarKey to ExpansionGyrocopter
14:16:08 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<967.688477, 13.430114, 2549.457520>) used the  ExpansionCarKey to lock a ExpansionGyrocopter
