08:12:21 [Market] Player "StaryKojot" (id=_uJkEyflAFEKMpkKqdLWoQHEfGiapl6KlgBZ_xRI58A=) has sold wolfsteakmeat x1 at the trader "Consumables (Naomi [#STR_EXPANSION_MARKET_TRADER_CONSUMABLES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 55.
08:12:21 [Market] Player "StaryKojot" (id=_uJkEyflAFEKMpkKqdLWoQHEfGiapl6KlgBZ_xRI58A=) has send a requested to sell wolfsteakmeat x1 at the trader "Consumables (Naomi [#STR_EXPANSION_MARKET_TRADER_CONSUMABLES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:12:21 [Market] Player "StaryKojot" (id=_uJkEyflAFEKMpkKqdLWoQHEfGiapl6KlgBZ_xRI58A=) has sold wolfsteakmeat x1 at the trader "Consumables (Naomi [#STR_EXPANSION_MARKET_TRADER_CONSUMABLES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 86.
08:12:22 [Market] Player "StaryKojot" (id=_uJkEyflAFEKMpkKqdLWoQHEfGiapl6KlgBZ_xRI58A=) has send a requested to sell wolfsteakmeat x1 at the trader "Consumables (Naomi [#STR_EXPANSION_MARKET_TRADER_CONSUMABLES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:12:22 [Market] Player "StaryKojot" (id=_uJkEyflAFEKMpkKqdLWoQHEfGiapl6KlgBZ_xRI58A=) has sold wolfsteakmeat x1 at the trader "Consumables (Naomi [#STR_EXPANSION_MARKET_TRADER_CONSUMABLES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 56.
08:12:23 [Market] Player "StaryKojot" (id=_uJkEyflAFEKMpkKqdLWoQHEfGiapl6KlgBZ_xRI58A=) has send a requested to sell wolfsteakmeat x1 at the trader "Consumables (Naomi [#STR_EXPANSION_MARKET_TRADER_CONSUMABLES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:12:23 [Market] Player "StaryKojot" (id=_uJkEyflAFEKMpkKqdLWoQHEfGiapl6KlgBZ_xRI58A=) has sold wolfsteakmeat x1 at the trader "Consumables (Naomi [#STR_EXPANSION_MARKET_TRADER_CONSUMABLES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 55.
08:12:23 [Market] Player "StaryKojot" (id=_uJkEyflAFEKMpkKqdLWoQHEfGiapl6KlgBZ_xRI58A=) has send a requested to sell wolfsteakmeat x1 at the trader "Consumables (Naomi [#STR_EXPANSION_MARKET_TRADER_CONSUMABLES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:12:23 [Market] Player "StaryKojot" (id=_uJkEyflAFEKMpkKqdLWoQHEfGiapl6KlgBZ_xRI58A=) has sold wolfsteakmeat x1 at the trader "Consumables (Naomi [#STR_EXPANSION_MARKET_TRADER_CONSUMABLES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 87.
08:12:24 [Market] Player "StaryKojot" (id=_uJkEyflAFEKMpkKqdLWoQHEfGiapl6KlgBZ_xRI58A=) has send a requested to sell wolfsteakmeat x1 at the trader "Consumables (Naomi [#STR_EXPANSION_MARKET_TRADER_CONSUMABLES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
