00:40:38 [Market] Player "Skyler85" (id=J1wNiQoRRT4WaY3VzXvAjfuzdWqiYzaMSXplrGeRAjo=) has sold mvs_gorkapants_multicam_black x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 375.
00:40:41 [Market] Player "Skyler85" (id=J1wNiQoRRT4WaY3VzXvAjfuzdWqiYzaMSXplrGeRAjo=) has send a requested to sell mvs_combatpants_black x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:40:42 [Market] Player "Skyler85" (id=J1wNiQoRRT4WaY3VzXvAjfuzdWqiYzaMSXplrGeRAjo=) has sold mvs_combatpants_black x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 300.
00:40:44 [Market] Player "Skyler85" (id=J1wNiQoRRT4WaY3VzXvAjfuzdWqiYzaMSXplrGeRAjo=) has send a requested to sell mvs_shirt_bdu_snow x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:40:44 [Market] Player "Skyler85" (id=J1wNiQoRRT4WaY3VzXvAjfuzdWqiYzaMSXplrGeRAjo=) has sold mvs_shirt_bdu_snow x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 825.
00:40:55 [Market] Player "Skyler85" (id=J1wNiQoRRT4WaY3VzXvAjfuzdWqiYzaMSXplrGeRAjo=) has send a requested to sell athleticshoes_brown x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:40:56 [Market] Player "Skyler85" (id=J1wNiQoRRT4WaY3VzXvAjfuzdWqiYzaMSXplrGeRAjo=) has sold athleticshoes_brown x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 34.
00:42:56 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell mvs_armoredhelmet_tan x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:42:56 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has sold mvs_armoredhelmet_tan x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 600.
00:43:03 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell mvs_armoredhelmet_snow x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:43:03 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has sold mvs_armoredhelmet_snow x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 600.
00:43:16 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell mvs_opscore_od x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:43:16 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has sold mvs_opscore_od x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 300.
00:44:06 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell smershbag x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:44:06 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has sold smershbag x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 19.
00:44:08 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell tortillabag x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:44:08 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has sold tortillabag x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 90.
00:44:11 [Market] Player "Skyler85" (id=J1wNiQoRRT4WaY3VzXvAjfuzdWqiYzaMSXplrGeRAjo=) has send a requested to sell mvs_slingpack_snow x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:44:11 [Market] Player "Skyler85" (id=J1wNiQoRRT4WaY3VzXvAjfuzdWqiYzaMSXplrGeRAjo=) has sold mvs_slingpack_snow x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1000.
00:44:37 [Market] Player "Skyler85" (id=J1wNiQoRRT4WaY3VzXvAjfuzdWqiYzaMSXplrGeRAjo=) has send a requested to sell canvaspants_red x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:44:37 [Market] Player "Skyler85" (id=J1wNiQoRRT4WaY3VzXvAjfuzdWqiYzaMSXplrGeRAjo=) has sold canvaspants_red x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 33.
00:45:16 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<4267.885254, 10.910316, 4187.986328>) used the  ExpansionCarKey to unlock a CrSk_Hummer_H2_6x6_Camo
00:45:31 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<4268.154785, 10.881568, 4187.834961>) used the  ExpansionCarKey to lock a CrSk_Hummer_H2_6x6_Camo
00:45:51 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell colt1911 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:45:51 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has sold colt1911 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 68.
00:45:54 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell makarovij70 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:45:54 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has sold makarovij70 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 80.
00:46:00 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell twp_holymackerel x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:46:00 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has sold twp_holymackerel x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 150.
00:46:03 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell twp_p2000protector x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:46:03 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has sold twp_p2000protector x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1200.
00:46:04 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell twp_lugerp08 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:46:04 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has sold twp_lugerp08 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 350.
00:46:06 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell twp_1911_wilsoncombat x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:46:06 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has sold twp_1911_wilsoncombat x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 350.
00:46:11 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell twp_cz805 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:46:11 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has sold twp_cz805 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1500.
00:46:19 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell twp_doomshotgun x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:46:19 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has sold twp_doomshotgun x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 3000.
00:46:23 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell twp_tec9 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:46:23 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has sold twp_tec9 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 530.
00:46:58 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell mvs_compact_2_erdl x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:46:58 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has sold mvs_compact_2_erdl x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 600.
00:47:41 [Market] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) has send a requested to sell mvs_pack_erdl x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
